cluster,gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
1,CAPS,0,3.17,98.1%,26.4%,0
1,C20orf85,0,2.98,95.1%,7.3%,0
1,C9orf24,0,2.82,93.6%,7.4%,0
1,AGR2,0,2.72,93.7%,19.1%,0
1,C1orf194,0,2.59,92.0%,5.9%,0
1,TPPP3,0,2.54,94.0%,15.7%,0
1,FAM183A,0,2.34,92.0%,4.3%,0
1,RSPH1,0,2.31,93.1%,8.3%,0
1,PIFO,0,2.31,92.4%,10.0%,0
1,C11orf88,0,2.17,89.0%,3.3%,0
1,SNTN,0,2.16,88.6%,2.9%,0
1,SCGB2A1,0,2.13,90.2%,25.5%,0
1,AGR3,0,2.09,91.3%,18.0%,0
1,C5orf49,0,2.08,90.4%,9.0%,0
1,CAPSL,0,2.05,89.3%,3.3%,0
1,ODF3B,0,2.02,90.4%,17.3%,0
1,CETN2,0,2.02,92.4%,39.7%,0
1,C9orf116,0,2.01,89.8%,10.3%,0
1,AL357093.2,0,1.81,83.6%,2.3%,0
1,MORN2,0,1.81,89.2%,23.4%,0
1,AK1,0,1.78,80.2%,21.5%,0
1,PSENEN,0,1.77,90.1%,40.3%,0
1,ZMYND10,0,1.76,87.6%,2.0%,0
1,CFAP126,0,1.71,86.1%,3.3%,0
1,FOXJ1,0,1.69,86.3%,5.3%,0
1,TFF3,0,1.69,64.9%,7.8%,0
1,CD24,0,1.68,91.8%,27.0%,0
1,MORN5,0,1.67,84.5%,2.6%,0
1,TMEM190,0,1.67,39.8%,0.8%,0
1,CCDC146,0,1.64,87.4%,14.0%,0
1,ROPN1L,0,1.62,84.2%,2.3%,0
1,DYNLRB2,0,1.62,83.3%,4.0%,0
1,CCDC170,0,1.62,84.6%,12.2%,0
1,LRRIQ1,0,1.58,84.9%,4.8%,0
1,SPA17,0,1.56,84.9%,10.6%,0
1,FAM92B,0,1.55,83.5%,1.8%,0
1,METRN,0,1.52,87.3%,31.3%,0
1,TCTEX1D2,0,1.52,86.1%,19.7%,0
1,LDLRAD1,0,1.51,79.6%,1.4%,0
1,FOLR1,0,1.50,89.1%,28.6%,0
1,DNAAF1,0,1.48,76.3%,3.1%,0
1,WDR54,0,1.48,85.4%,13.4%,0
1,SOD3,0,1.47,84.6%,41.8%,0
1,CIB1,0,1.45,91.9%,56.5%,0
1,C9orf135,0,1.45,82.0%,2.1%,0
1,FAM81B,0,1.44,81.2%,1.6%,0
1,LRRC46,0,1.44,82.3%,1.8%,0
1,SLPI,0,1.43,95.7%,40.4%,0
1,LRRC23,0,1.43,83.8%,9.4%,0
1,EFCAB1,0,1.42,82.5%,2.0%,0
1,G0S2,0,1.40,76.0%,24.3%,0
1,MNS1,0,1.40,82.4%,7.7%,0
1,PERP,0,1.40,88.6%,39.9%,0
