rank,Cancer.cell.1,Cancer.cell.2,Cancer.cell.3,Cancer.cell.4,Cancer.cell.5,Cancer.cell.6,Cycling.cancer.cell.1,Cycling.cancer.cell.2,Ciliated.cell.1,Ciliated.cell.2,OV.065.specific.1,OV.075.specific,OV.081.specific,,,,,,,,,,,,
1,DAPL1,S100A9,CXCL10,COL1A1,S100A4,VEGFA,CENPF,HIST1H4C,CAPS,CFAP126,OVGP1,TAGLN,MESP1,,,,,,,,,,,,
2,SCGB2A1,KRT17,ISG15,COL3A1,CASC1,SST,PTTG1,TUBA1B,C20orf85,PIFO,SCGB3A1,TPM2,CLEC11A,,,,,,,,,,,,
3,CRABP1,LCN2,IFIT3,COL1A2,SNHG19,SLC2A1,UBE2S,PCLAF,TPPP3,FAM183A,CRISP3,LGALS1,ANPEP,,,,,,,,,,,,
4,SCGB1D2,TACSTD2,IFIT1,FN1,CETN2,BNIP3,HMGB2,ATAD2,C9orf24,DNALI1,PLCG2,ACTA2,COX4I1,,,,,,,,,,,,
5,THSD4,KRT7,MX1,SPARC,TMEM100,NDRG1,MKI67,PCNA,RSPH1,CASC1,PTMS,CALD1,NPW,,,,,,,,,,,,
6,,S100A10,IFIT2,DCN,MFAP5,NDUFA4L2,TPX2,H2AFZ,C5orf49,RSPH1,CCND1,MT1H,ASRGL1,,,,,,,,,,,,
7,,GPRC5A,IFI6,LUM,PEG10,FTL,ASPM,CKS1B,TMEM190,C9orf24,SNHG9,RAB32,ANXA1,,,,,,,,,,,,
8,,SLPI,PARP14,IGFBP7,CCND1,P4HA1,TOP2A,TK1,PIFO,C20orf85,PEG10,NMU,CKB,,,,,,,,,,,,
9,,MMP7,IFI44L,COL6A1,TTYH1,DDIT3,CCNB1,TUBB,FAM183A,LRRIQ1,DSTN,SELENOP,CFD,,,,,,,,,,,,
10,,S100A11,TNFSF10,COL6A2,NAP1L1,NUPR1,CDC20,TYMS,C1orf194,C5orf49,APOLD1,CDKN2A,LINC01436,,,,,,,,,,,,
11,,KRT19,GBP4,CCDC80,SELENOP,IGFBP3,CKS2,MKI67,CETN2,DNAAF1,TOP2A,MT1G,SCGB2A1,,,,,,,,,,,,
12,,CRYAB,IFI27,CTHRC1,STK38L,FTH1,UBE2C,HMGB2,AGR3,TPPP3,YWHAE,ANXA3,REG1A,,,,,,,,,,,,
13,,IGFBP3,STAT1,CALD1,MLF1,LDHA,ARL6IP1,DUT,CFAP126,ARMC3,EPB41L2,CCT5,NDUFA1,,,,,,,,,,,,
14,,S100A6,GBP1,COL6A3,CAPS,SLC3A2,BIRC5,TOP2A,ODF3B,C1orf194,CDC20,VIM,IDH1,,,,,,,,,,,,
15,,TAGLN,TNFAIP2,NNMT,LDHB,ZFAS1,LGALS1,DEK,TXN,CFAP45,RBMX,COTL1,ATP5F1A,,,,,,,,,,,,
